chunk_hash,n_lines,risk_score_logged_mean,risk_score_logged_std,model_score_mean,model_score_std,pred_bot_frac
066b3903e15217d1f2157ab480b9008808648c4a936e7eadc2178a3fdea919d5,4,0.3228715,0.007673562427799304,0.2899143127122273,4.5324665183683945e-17,0.0
09a4818ff15378ce08cdd135004621f4ace4139b25a13ebe08f7b42b9bc8360b,4,0.016787,0.009360002564102214,0.11652794746503004,1.1331166295920986e-17,0.0
0cdf50644d831913e6d0d4e8be69316239124a695b9c43bf08e2e6f644e35d9f,4,0.125212,0.025465765673416012,0.13721377674863225,6.206335383118183e-17,0.0
0e80ac0f78131417006d7b585e64ef8d6c238845d5825e203870b702896269ed,12,0.023687333333333335,0.005204898799703171,0.044918384815334556,6.2764656925485474e-18,0.0
14532481c7281c55a4d4542829c287211572cb56e8d7b920945703cf8e347de0,4,0.0264225,0.0023781057587920684,0.11433233883276031,8.012344526598183e-18,0.0
147dcda0d77af4d08961b3c9558d0cd512ec9e3a7419bcf84b80c2a5bb4e3cdd,12,0.08781608333333334,0.021828340425229242,0.07409000684770674,1.8712805262645128e-17,0.0
17a81d2bc5f784c9a9dd6004ef4f2d6b189497432102ad0021c34c752fcb616b,16,0.045960999999999995,0.019325670499795514,0.09814006648797333,1.1884227471249331e-17,0.0
1f731255aa9c7b59a4f8953d414b04584cd37fce226038b0cf185def31c5998a,16,0.037476499999999996,0.012945575934143165,0.0758189536409885,1.1884227471249331e-17,0.0
207fc03d49e78f96ea14124073e1925344bc4070a9968eb29962ade9363641d7,4,0.017085,0.00998007675321187,0.11648453133640162,2.997944808332385e-17,0.0
21295c1fd07e6f938378860ad3c19ad08b573c5272d24a06e129ca21a4c83221,4,0.028625,0.02354896277970646,0.11192331279982276,1.962615573354719e-17,0.0
24aa3bd5fe1c91d94caad715d9effb7df3a80ff67f17c8ee6a7a8f6d7494e400,12,0.04836116666666667,0.018470490695028964,0.05006516635623053,5.124712778276061e-18,0.0
26151b62e9a4bcd1e57ee0e3c31700d22e0e80b4c45aa9496f47aeedd442f491,16,0.0357035,0.02817208086031275,0.09403488186000347,9.480333893807274e-18,0.0
275eb53cf53a259b4e1068aa2946d42fd270060db378c7222874eec66a5448f8,12,0.023952166666666663,0.011475699906033325,0.049523332315171975,5.917508604114398e-18,0.0
2b4ed6d827a3bc55da37982225fbe13ec5e7d9df9fc90ae644ebf5bb0bb2c1b9,4,0.41401849999999996,0.01082127609542115,0.31818400861555635,7.166458808248763e-17,0.0
2de624fd9df0075ff88fe46848057bcb63fa1648bcf6e335a4623063226f8953,4,0.3311965,0.010798182084653586,0.28088955022012385,5.551115123125783e-17,0.0
2f1341be8550ef9d49ad5d39b3e196790b91de856f7ee6cf1ab549d105899bbb,4,0.26072850000000003,0.019467673726805,0.1518646636209124,1.6024689053196365e-17,0.0
2f9a23667eb9a30ac5253354c529978920cf5b8e6cdabb5e312aa034789ba155,16,0.018117,0.008716794517864161,0.049688234023500796,7.601177430610146e-18,0.0
2fbf692ef6d077222c8d48fb75b4b19e4b4310a6e3a506834860d48dc67bb712,4,0.3600535,0.006554657606109833,0.3618940765785677,4.5324665183683945e-17,0.0
32da2bd6504566c94b1d8a2d4fd1ae0902fc080b8f685d3430c412ac7330a04a,4,0.020642999999999998,0.006253858115862026,0.11464353609498634,1.6024689053196365e-17,0.0
33010581efc595f2bfe390f10890651fc3c203f393bfac38561e3ce9c71525ae,4,0.4646265,0.007536153063732174,0.4257933341189371,6.409875621278546e-17,0.0
33c536923402503afd9e6cfa1e179045f433613edb1481e8623af0e56663ea7c,16,0.0196155,0.008951755507534076,0.06480144638174085,1.1331166295920986e-17,0.0
3494f747386567e9668f637538e22949e7f566c2fedd0a00e17b275371420efa,4,0.214059,0.03927252001081673,0.13774933532643036,2.2662332591841973e-17,0.0
34f36e7afccf206eae0430dc03c7eeb60bfda0b581dc03fbc532d4b236fff894,16,0.0291445,0.020746280791184395,0.08321344497085296,1.4774033314023857e-17,0.0
35e27ff63889b932124968a6dc55e289e5e49b38debe1fe037ddde77486fc607,4,0.022524,0.014610425912112668,0.12241814995461353,1.3877787807814457e-17,0.0
37690efaa94db71fb81dd3d15e65987fd11debed8b89eb9d378a1079406986b7,16,0.0380785,0.030493805276919222,0.09037939895502124,1.1884227471249331e-17,0.0
37aee3f3275bf991a1638e7a3b85f633e434388e6c1833e9f9af831a8307cd7f,4,0.27456,0.019183040044094535,0.20463664539232074,0.0,0.0
39c4ad61fcc38af078d6830a3ec040ede7bdd367be7a080b8fdae0047ba0d04a,4,0.39927,0.0069409049361976675,0.4005721424840694,9.064933036736789e-17,0.0
39c6888d3f5095f208182b984fd05cc6324afd31988fb74913a65331bab6fedb,12,0.036374166666666666,0.024488976762592346,0.0797404713079924,1.5656256147571663e-17,0.0
39e830283f91a4d1332e2d113ec2c19af517b772f5f26e6009e380a30322d4dd,12,0.04903441666666667,0.03549248709607643,0.08186247304740414,1.1070644889941494e-17,0.0
39fff95d314b58820593aff5dd7772d4fdf335c3f5f121d00396001f3a529009,12,0.042541249999999996,0.029374104870307415,0.09075600482818293,1.0249425556552122e-17,0.0
3bacfb1aa7426c22f8c70d7221cd46dc7e2612a35d2c691ad0cded52bdfdb1c1,12,0.06296625,0.036603703123951316,0.051551132059948546,1.2199256507632491e-17,0.0
3e79f7b7cfb9f987d34a7b4677af90e0c3e415fc3bea0169e61ec428c2089406,4,0.30084049999999996,0.02652058461522545,0.38135092393001213,4.5324665183683945e-17,0.0
3f4057fe749789badb9f275b003da2dc7c07797d3217f1d51c1b4d5465d1466d,16,0.09279649999999999,0.05385873920791933,0.06558360306578127,1.1884227471249331e-17,0.0
417be157d876e575ed5b44fb0ec95665a64fdf0354a00bb9d25ebf9beb7e6f06,4,0.366135,0.032611052604906814,0.3481437766632935,3.204937810639273e-17,0.0
