proba,cluster,aggression_factor_mean,aggression_factor_p90,aggression_factor_std,aggression_factor_max,bet_ratio_mean,bet_ratio_p50,bet_ratio_p90,bet_ratio_std,bet_ratio_max,check_ratio_p90,call_ratio_p90,fold_ratio_p10,raise_minus_call_mean,bet_minus_fold_mean,fold_position_mean_mean,action_entropy_p50,action_entropy_p90,pot_growth_std,pot_after_over_stack_mean
0.08629927374816719,0,0.21631130063965887,0.6,0.2862575543787174,1.3333333333333333,0.061442786069651735,0.0,0.26428571428571423,0.12292890363717643,0.5,0.625,0.42857142857142855,0.0,-0.14029850746268657,-0.16446339729921822,0.7262911632314618,1.4591479170272448,1.9107017709595355,0.10331030248909312,21.893680504532156
0.020239714106887137,0,0.12768276324614355,0.5,0.19152614691265943,0.6666666666666666,0.0505533199195171,0.0,0.25,0.10729120644683823,0.375,0.625,0.5,0.0,-0.20999329309188466,-0.19000670690811539,0.6883858707802369,1.4056390622295665,1.8423709931771088,0.1109743621612572,20.965596904041654
0.10076613675314865,0,0.2023508137432188,0.6,0.2508910878544005,1.0,0.062176009644364066,0.0,0.25,0.11553791924795057,0.5,0.625,0.375,0.125,-0.12512055455093427,-0.18797468354430377,0.7788075145670081,1.4056390622295665,1.9246790802265408,0.09127443115424434,22.405410303487784
0.10230258184203463,1,0.17877406281661595,0.4,0.1732808504855288,0.6,0.06724924012158054,0.0,0.19999999999999987,0.1014093741614951,0.42857142857142855,0.5828571428571427,0.39642857142857135,0.0,-0.15602836879432627,-0.18368794326241136,0.7141168524147246,1.5566567074628228,1.9056390622295665,0.1129006120120894,23.661114967604018
0.026831386599298675,0,0.17115508365508364,0.5,0.21693561624576838,0.8,0.0601029601029601,0.0,0.23500000000000015,0.10603156759963239,0.5,0.6,0.5,0.125,-0.18138674388674383,-0.19057271557271552,0.7417578292578292,1.5,1.9056390622295665,0.10800342785990916,21.788421664924684
0.03473167706559599,1,0.1926691729323308,0.5,0.20349447209380803,0.6,0.04801065162907268,0.0,0.14285714285714285,0.0910146693894973,0.375,0.6458333333333333,0.5,0.125,-0.1283208020050125,-0.17222744360902256,0.7603070175438597,1.5566567074628228,1.9056390622295665,0.10344185956180942,22.33648034193967
0.10797036105182344,0,0.21044642857142856,0.5100000000000001,0.23257994375413804,1.0,0.052976190476190475,0.0,0.1750000000000001,0.09600509600042013,0.375,0.625,0.38035714285714295,0.0,-0.10386904761904761,-0.1705952380952381,0.7463095238095239,1.4539817763762146,1.9056390622295665,0.10204430594902471,23.30378094539705
0.11897077230198481,0,0.18637362637362637,0.6,0.25151954304270313,1.0,0.07417582417582418,0.0,0.2857142857142857,0.13057753929189633,0.5,0.65,0.2857142857142857,0.0,-0.11694139194139191,-0.1607142857142857,0.7165995115995116,1.4056390622295665,1.9056390622295665,0.1184551866306353,24.267070116625565
0.06231229551791441,0,0.1653817082388511,0.4,0.201201970446716,1.0,0.04588057445200302,0.0,0.14285714285714285,0.09560935418105823,0.42857142857142855,0.6964285714285718,0.485714285714286,0.0,-0.12375283446712018,-0.1972222222222222,0.6678697404887882,1.4056390622295665,1.8423709931771086,0.10419564700659352,22.28809854012093
0.11053337555748953,0,0.1973716759431045,0.5400000000000006,0.23261736051518056,1.0,0.0682282003710575,0.0,0.2200000000000003,0.10158147018149385,0.5,0.6416666666666669,0.375,0.0,-0.11754792826221397,-0.16459492888064314,0.6817357245928674,1.5,1.9107017709595358,0.10667604984560551,23.999841490045963
0.07629903258762114,1,0.16250000000000003,0.5,0.2184159474962959,0.75,0.040293040293040296,0.0,0.14107142857142854,0.07925677368641831,0.2857142857142857,0.625,0.42857142857142855,0.0,-0.15544871794871795,-0.20906593406593407,0.6960851648351648,1.5,1.8993122553243207,0.09804455011585633,23.72791457515187
0.13761225621406126,0,0.2736353077816492,0.6666666666666666,0.3289879323512288,1.3333333333333333,0.057665505226480826,0.0,0.14285714285714285,0.09746207343803696,0.375,0.625,0.42857142857142855,0.0,-0.085191637630662,-0.14468641114982578,0.6805168408826946,1.5,1.9502120649147465,0.10258138888165069,25.14981062980645
0.08086359041171026,0,0.16367559523809522,0.5,0.22520760718023103,1.0,0.03464285714285714,0.0,0.12678571428571445,0.08643558117972917,0.5,0.6666666666666666,0.40285714285714314,0.0,-0.1326190476190476,-0.2135416666666667,0.6377777777777778,1.4272273489773757,1.910096362498085,0.1039901581516994,22.807322817521044
0.1545378680777282,0,0.2968537414965986,0.6,0.2898498206274195,1.0,0.0610827664399093,0.0,0.25,0.10048825574759696,0.3333333333333333,0.5714285714285714,0.36607142857142844,0.0,-0.046286848072562364,-0.17003968253968255,0.7378401360544219,1.5566567074628228,1.9056390622295665,0.09622544722801538,22.463268919574016
0.04274864118673392,0,0.1574702380952381,0.6,0.24321708088445787,1.0,0.05744047619047619,0.0,0.2535714285714286,0.11463975110760492,0.42857142857142855,0.625,0.5,0.0,-0.19895833333333335,-0.14404761904761906,0.7171428571428571,1.4272273489773757,1.8423709931771088,0.10721325363671842,25.4957816132417
0.09339583524306902,0,0.20498511904761899,0.6,0.25933575630980676,1.3333333333333333,0.057118055555555554,0.0,0.21500000000000022,0.11253948915972119,0.42857142857142855,0.6075,0.4085714285714287,0.08750000000000002,-0.14392361111111113,-0.1888392857142857,0.7451140873015873,1.5219280948873621,1.9056390622295665,0.11306561853822655,23.7360017177863
0.09662695028837741,0,0.18394510582010581,0.5,0.22624068235056358,1.0,0.07428902116402115,0.0,0.25,0.11632749865881666,0.5,0.625,0.42857142857142855,0.0,-0.16329365079365077,-0.1470238095238095,0.6789186507936509,1.5,1.9056390622295665,0.11394014770905787,23.1351680424011
0.10644389958804598,0,0.20411051212938003,0.6,0.22214818075041817,0.75,0.0781895777178796,0.0,0.25,0.12359806688092595,0.42857142857142855,0.6666666666666666,0.422857142857143,0.0,-0.1257187780772686,-0.09348607367475292,0.6430443246480982,1.4056390622295665,1.9056390622295665,0.10309387928159333,25.16691914846452
