feature,decision,reason,p_value,p_fdr_bh,sig_bonferroni,sig_fdr_0_05,anova_f,task_importance_score,mean_human,mean_bot,n_human,n_bot
p6p_std,keep,robust_significant,9.412721134638947e-29,1.2424791897723411e-28,True,True,124.55553911483454,0.4171140822293017,0.378395365500644,0.3934735964791142,5000,5000
end_flop_mean,keep,robust_significant,6.365820315148984e-27,8.238120407839862e-27,True,True,116.09520933331916,0.4110930297286956,0.1392344062975414,0.1473373838558131,5000,5000
end_flop_std,keep,robust_significant,8.941545958310786e-27,1.1348885254779075e-26,True,True,115.41360079901058,0.4105891537414207,0.3419057955211139,0.3502918645166321,5000,5000
check_ratio_max,keep,robust_significant,2.380585671268801e-24,2.9645029113913373e-24,True,True,104.22233381243863,0.401865482966895,0.5842218181818182,0.56726,5000,5000
p3_max,keep,robust_significant,6.335272582897427e-22,7.743110934652409e-22,True,True,93.0553589644377,0.3921821974355852,0.0492,0.0996,5000,5000
p2_max,keep,robust_significant,9.1549440230281e-16,1.098593282763372e-15,True,True,64.8168557536467,0.3613689054249599,0.0,0.0128,5000,5000
p2_std,keep,robust_significant,6.927347804378651e-14,8.164374198017696e-14,True,True,56.24916111337081,0.3493318673693388,0.0,0.0024270327471187,5000,5000
p5_max,keep,robust_significant,1.695188078986158e-11,1.9628493546155512e-11,True,True,45.39959636730573,0.33119623583095,1.0,0.991,5000,5000
p2_mean,keep,robust_significant,4.184467298184103e-10,4.761635201381911e-10,True,True,39.103062595547726,0.3186089658454095,0.0,0.0005714692351805,5000,5000
mean_norm_bb_mean,keep,robust_significant,2.15595051495635e-09,2.411741254018968e-09,True,True,35.89346172142343,0.3114091344362968,1.5248111686951369,1.4922549952816415,5000,5000
p4_mean,watch,borderline_significance_or_weak_task_score,0.0110598252652522,0.0121658077917774,False,True,6.458087001363396,0.1734224195024817,0.0394140337111651,0.0371902935115085,5000,5000
n_players_max,watch,borderline_significance_or_weak_task_score,0.0142742604020713,0.0151951804280114,False,True,6.006007208650378,0.1680253748261261,6.0,5.9988,5000,5000
p6p_max,watch,borderline_significance_or_weak_task_score,0.0142742604020713,0.0151951804280114,False,True,6.006007208650378,0.1680253748261261,1.0,0.9988,5000,5000
call_ratio_max,watch,borderline_significance_or_weak_task_score,0.0157861446939721,0.0165378658698755,False,True,5.828529368749998,0.165810781308388,0.3967046464646464,0.399980606060606,5000,5000
